InvoiceDate,Daily_Sales
2010-12-01,46219.29
2010-12-02,47283.53
2010-12-03,23576.01
2010-12-04,0.0
2010-12-05,31315.64
2010-12-06,31014.21
2010-12-07,53579.31
2010-12-08,38896.86
2010-12-09,37638.9
2010-12-10,33072.28
2010-12-11,0.0
2010-12-12,17305.77
2010-12-13,27501.43
2010-12-14,29281.04
2010-12-15,30294.91
2010-12-16,48784.08
2010-12-17,19096.56
2010-12-18,0.0
2010-12-19,7295.39
2010-12-20,19390.96
2010-12-21,15633.66
2010-12-22,4841.52
2010-12-23,5469.37
2010-12-24,0.0
2010-12-25,0.0
2010-12-26,0.0
2010-12-27,0.0
2010-12-28,0.0
2010-12-29,0.0
2010-12-30,0.0
2010-12-31,0.0
2011-01-01,0.0
2011-01-02,0.0
2011-01-03,0.0
2011-01-04,11914.31
2011-01-05,28658.68
2011-01-06,34268.54
2011-01-07,23271.79
2011-01-08,0.0
2011-01-09,15588.2
2011-01-10,15142.13
2011-01-11,59890.03
2011-01-12,16877.94
2011-01-13,14885.31
2011-01-14,39262.02
2011-01-15,0.0
2011-01-16,7239.56
2011-01-17,16363.35
2011-01-18,87095.71
2011-01-19,21450.98
2011-01-20,15104.18
2011-01-21,24133.76
2011-01-22,0.0
2011-01-23,10292.25
2011-01-24,17341.37
2011-01-25,23887.3
2011-01-26,17222.82
2011-01-27,22013.03
2011-01-28,17067.5
2011-01-29,0.0
2011-01-30,6615.75
2011-01-31,18440.13
2011-02-01,26148.5
2011-02-02,16996.23
2011-02-03,21814.0
2011-02-04,17796.31
2011-02-05,0.0
2011-02-06,3457.11
2011-02-07,23415.010000000002
2011-02-08,13982.03
2011-02-09,11658.03
2011-02-10,14144.51
2011-02-11,18584.46
2011-02-12,0.0
2011-02-13,5713.63
2011-02-14,22847.99
2011-02-15,37744.06
2011-02-16,23373.22
2011-02-17,17417.79
2011-02-18,14280.06
2011-02-19,0.0
2011-02-20,9621.289999999999
2011-02-21,32100.04
2011-02-22,29149.98
2011-02-23,19228.07
2011-02-24,21432.89
2011-02-25,18128.69
2011-02-26,0.0
2011-02-27,9508.5
2011-02-28,14803.62
2011-03-01,22032.37
2011-03-02,18686.99
2011-03-03,32644.05
2011-03-04,17095.62
2011-03-05,0.0
2011-03-06,9997.42
2011-03-07,20152.18
2011-03-08,22078.01
2011-03-09,20215.920000000002
2011-03-10,24381.72
2011-03-11,17385.66
2011-03-12,0.0
2011-03-13,4100.04
2011-03-14,25767.4
2011-03-15,14882.43
2011-03-16,21475.02
2011-03-17,31811.94
2011-03-18,23108.74
2011-03-19,0.0
2011-03-20,19827.8
2011-03-21,16021.05
2011-03-22,18775.29
2011-03-23,20941.8
2011-03-24,36231.14
2011-03-25,26578.75
2011-03-26,0.0
2011-03-27,9173.45
2011-03-28,19454.16
2011-03-29,37190.52
2011-03-30,28989.77
2011-03-31,25563.61
2011-04-01,24073.22
2011-04-02,0.0
2011-04-03,6918.5
2011-04-04,22614.93
2011-04-05,27583.07
2011-04-06,12722.32
2011-04-07,16656.07
2011-04-08,20680.85
2011-04-09,0.0
2011-04-10,9868.98
2011-04-11,19900.69
2011-04-12,23679.14
2011-04-13,24429.53
2011-04-14,35330.7
2011-04-15,17726.48
2011-04-16,0.0
2011-04-17,12639.5
2011-04-18,43447.74
2011-04-19,18408.04
2011-04-20,25610.95
2011-04-21,27512.52
2011-04-22,0.0
2011-04-23,0.0
2011-04-24,0.0
2011-04-25,0.0
2011-04-26,21449.11
2011-04-27,23346.28
2011-04-28,20668.29
2011-04-29,0.0
2011-04-30,0.0
2011-05-01,6829.66
2011-05-02,0.0
2011-05-03,20591.71
2011-05-04,27200.0
2011-05-05,25020.37
2011-05-06,30604.7
2011-05-07,0.0
2011-05-08,18758.4
2011-05-09,21516.41
2011-05-10,29397.99
2011-05-11,31707.7
2011-05-12,58476.49
2011-05-13,25759.83
2011-05-14,0.0
2011-05-15,9608.75
2011-05-16,35622.7
2011-05-17,45951.090000000004
2011-05-18,32606.87
2011-05-19,31269.510000000002
2011-05-20,25197.66
2011-05-21,0.0
2011-05-22,23961.09
