InvoiceDate,Weekly_Sales
2010-12-05,148394.47
2010-12-12,211507.33000000002
2010-12-19,162253.41
2010-12-26,45335.51
2011-01-02,0.0
2011-01-09,113701.52
2011-01-16,153296.99
2011-01-23,174440.23
2011-01-30,104147.77
2011-02-06,104652.28
2011-02-13,87497.67
2011-02-20,125284.41
2011-02-27,129548.17
2011-03-06,115260.07
2011-03-13,108313.53
2011-03-20,136873.33
2011-03-27,127721.48
2011-04-03,142189.78
2011-04-10,110126.22
2011-04-17,133706.04
2011-04-24,114979.25
2011-05-01,72293.34
2011-05-08,122175.18000000001
2011-05-15,176467.17
2011-05-22,194608.92
2011-05-29,142664.62
2011-06-05,101154.65
2011-06-12,192374.71
2011-06-19,170453.54
2011-06-26,110714.57
2011-07-03,115538.12
2011-07-10,129985.06
2011-07-17,116241.81
2011-07-24,165370.81
2011-07-31,163067.54
2011-08-07,154708.72
2011-08-14,139884.22
2011-08-21,166872.76
2011-08-28,146597.16
2011-09-04,111523.56
2011-09-11,165194.9
2011-09-18,206359.61000000002
2011-09-25,306319.94
2011-10-02,191830.13
2011-10-09,291144.05
2011-10-16,200950.33000000002
2011-10-23,246380.15
2011-10-30,223678.43
2011-11-06,257802.76
2011-11-13,260535.41
2011-11-20,271432.85
2011-11-27,245131.17
2011-12-04,247772.57
2011-12-11,404608.43
